,num_sensors,record_freq,record_bytes,stochasticity,mean_mining_time,std,min,max
0,10,0.001,1,0,1.0,0.0,1.0,1.0
1,10,0.01,1,0,1.0,0.0,1.0,1.0
2,10,0.1,1,0,1.0016977928692699,0.04120428217151646,1.0,2.0
3,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
4,10,0.001,10,0,1.0,0.0,1.0,1.0
5,10,0.01,10,0,1.0,0.0,1.0,1.0
6,10,0.1,10,0,1.001564945226917,0.03955938860646178,1.0,2.0
7,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
8,10,0.001,100,0,Failed on tick 300,,,
9,10,0.01,100,0,1.0,0.0,1.0,1.0
10,10,0.1,100,0,1.0018796992481203,0.043355498476206,1.0,2.0
11,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
12,10,0.001,1,0,1.0,0.0,1.0,1.0
13,10,0.01,1,0,1.0,0.0,1.0,1.0
14,10,0.1,1,0,1.0,0.0,1.0,1.0
15,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
16,10,0.001,10,0,1.0,0.0,1.0,1.0
17,10,0.01,10,0,1.0,0.0,1.0,1.0
18,10,0.1,10,0,1.003780718336484,0.0614292917514851,1.0,2.0
19,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
20,10,0.001,100,0,1.0,0.0,1.0,1.0
21,10,0.01,100,0,1.0,0.0,1.0,1.0
22,10,0.1,100,0,1.011049723756906,0.13538043742224878,1.0,3.0
23,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
24,10,0.001,1,0,1.0,0.0,1.0,1.0
25,10,0.01,1,0,1.0,0.0,1.0,1.0
26,10,0.1,1,0,1.0015337423312884,0.03916302249939787,1.0,2.0
27,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
28,10,0.001,10,0,1.0,0.0,1.0,1.0
29,10,0.01,10,0,1.0,0.0,1.0,1.0
30,10,0.1,10,0,1.005181347150259,0.07185693156131119,1.0,2.0
31,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
32,10,0.001,100,0,1.0,0.0,1.0,1.0
33,10,0.01,100,0,1.0,0.0,1.0,1.0
34,10,0.1,100,0,1.0017857142857143,0.042257712736425826,1.0,2.0
35,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
36,10,0.001,1,0,1.0,0.0,1.0,1.0
37,10,0.01,1,0,1.0,0.0,1.0,1.0
38,10,0.1,1,0,1.0,0.0,1.0,1.0
39,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
40,10,0.001,10,0,1.0,0.0,1.0,1.0
41,10,0.01,10,0,1.0,0.0,1.0,1.0
42,10,0.1,10,0,1.0,0.0,1.0,1.0
43,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
44,10,0.001,100,0,1.0,0.0,1.0,1.0
45,10,0.01,100,0,1.0,0.0,1.0,1.0
46,10,0.1,100,0,1.0071428571428571,0.10335541067065167,1.0,3.0
47,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
48,10,0.001,1,0,1.0,0.0,1.0,1.0
49,10,0.01,1,0,1.0185185185185186,0.1360827634879543,1.0,2.0
50,10,0.1,1,0,1.0017699115044247,0.04207031619116712,1.0,2.0
51,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
52,10,0.001,10,0,1.0,0.0,1.0,1.0
53,10,0.01,10,0,1.0,0.0,1.0,1.0
54,10,0.1,10,0,1.0,0.0,1.0,1.0
55,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
56,10,0.001,100,0,1.0,0.0,1.0,1.0
57,10,0.01,100,0,1.0,0.0,1.0,1.0
58,10,0.1,100,0,1.001763668430335,0.0419960525565808,1.0,2.0
59,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
60,10,0.001,1,0,1.0,0.0,1.0,1.0
61,10,0.01,1,0,1.0,0.0,1.0,1.0
62,10,0.1,1,0,1.0034904013961605,0.059027953512023605,1.0,2.0
63,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
64,10,0.001,10,0,1.1666666666666667,0.408248290463863,1.0,2.0
65,10,0.01,10,0,1.0,0.0,1.0,1.0
66,10,0.1,10,0,1.0018181818181817,0.04264014327112209,1.0,2.0
67,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
68,10,0.001,100,0,1.0,0.0,1.0,1.0
69,10,0.01,100,0,1.0,0.0,1.0,1.0
70,10,0.1,100,0,1.0087260034904013,0.11027912759663776,1.0,3.0
71,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
72,10,0.001,1,0,1.0,0.0,1.0,1.0
73,10,0.01,1,0,1.0,0.0,1.0,1.0
74,10,0.1,1,0,1.0017123287671232,0.0413802944301184,1.0,2.0
75,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
76,10,0.001,10,0,1.0,0.0,1.0,1.0
77,10,0.01,10,0,1.0,0.0,1.0,1.0
78,10,0.1,10,0,1.0050251256281406,0.07076908075185363,1.0,2.0
79,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
80,10,0.001,100,0,1.0,0.0,1.0,1.0
81,10,0.01,100,0,1.0,0.0,1.0,1.0
82,10,0.1,100,0,1.01875,0.1845987061604684,1.0,4.0
83,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
84,10,0.001,1,0,1.0,0.0,1.0,1.0
85,10,0.01,1,0,1.0,0.0,1.0,1.0
86,10,0.1,1,0,1.0,0.0,1.0,1.0
87,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
88,10,0.001,10,0,Failed on tick 300,,,
89,10,0.01,10,0,1.0,0.0,1.0,1.0
90,10,0.1,10,0,1.0052539404553416,0.07235679357566113,1.0,2.0
91,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
92,10,0.001,100,0,1.0,0.0,1.0,1.0
93,10,0.01,100,0,1.0,0.0,1.0,1.0
94,10,0.1,100,0,1.0,0.0,1.0,1.0
95,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
96,10,0.001,1,0,1.0,0.0,1.0,1.0
97,10,0.01,1,0,1.0,0.0,1.0,1.0
98,10,0.1,1,0,1.0034071550255537,0.058321014804535734,1.0,2.0
99,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
100,10,0.001,10,0,1.0,0.0,1.0,1.0
101,10,0.01,10,0,1.0,0.0,1.0,1.0
102,10,0.1,10,0,1.0017182130584192,0.041451333614483915,1.0,2.0
103,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
104,10,0.001,100,0,1.0,0.0,1.0,1.0
105,10,0.01,100,0,1.0,0.0,1.0,1.0
106,10,0.1,100,0,1.0165562913907285,0.19028841288013046,1.0,4.0
107,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
108,10,0.001,1,0,1.0,0.0,1.0,1.0
109,10,0.01,1,0,1.0,0.0,1.0,1.0
110,10,0.1,1,0,1.0017035775127767,0.0412744171706498,1.0,2.0
111,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
112,10,0.001,10,0,1.0,0.0,1.0,1.0
113,10,0.01,10,0,1.0185185185185186,0.1360827634879543,1.0,2.0
114,10,0.1,10,0,1.0016447368421053,0.040555355282690636,1.0,2.0
115,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
116,10,0.001,100,0,1.0,0.0,1.0,1.0
117,10,0.01,100,0,1.0,0.0,1.0,1.0
118,10,0.1,100,0,1.0162748643761301,0.15259545729827723,1.0,3.0
119,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
120,10,0.001,1,0,1.0,0.0,1.0,1.0
121,10,0.01,1,0,1.0,0.0,1.0,1.0
122,10,0.1,1,0,1.0038387715930903,0.061898217583599105,1.0,2.0
123,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
124,10,0.001,10,0,1.0,0.0,1.0,1.0
125,10,0.01,10,0,1.0,0.0,1.0,1.0
126,10,0.1,10,0,1.0031298904538342,0.055901562316483765,1.0,2.0
127,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
128,10,0.001,100,0,1.0,0.0,1.0,1.0
129,10,0.01,100,0,1.0,0.0,1.0,1.0
130,10,0.1,100,0,1.015075376884422,0.17790881462764885,1.0,4.0
131,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
132,10,0.001,1,0,1.0,0.0,1.0,1.0
133,10,0.01,1,0,1.0,0.0,1.0,1.0
134,10,0.1,1,0,1.0017152658662092,0.04141576832812912,1.0,2.0
135,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
136,10,0.001,10,0,1.0,0.0,1.0,1.0
137,10,0.01,10,0,1.0,0.0,1.0,1.0
138,10,0.1,10,0,1.0015576323987538,0.03946685189819291,1.0,2.0
139,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
140,10,0.001,100,0,1.0,0.0,1.0,1.0
141,10,0.01,100,0,1.0,0.0,1.0,1.0
142,10,0.1,100,0,1.0,0.0,1.0,1.0
143,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
144,10,0.001,1,0,1.0,0.0,1.0,1.0
145,10,0.01,1,0,1.0,0.0,1.0,1.0
146,10,0.1,1,0,1.0018832391713748,0.04339630366027464,1.0,2.0
147,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
148,10,0.001,10,0,Failed on tick 300,,,
149,10,0.01,10,0,1.0,0.0,1.0,1.0
150,10,0.1,10,0,1.0018181818181817,0.04264014327112209,1.0,2.0
151,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
152,10,0.001,100,0,1.0,0.0,1.0,1.0
153,10,0.01,100,0,1.0,0.0,1.0,1.0
154,10,0.1,100,0,1.0036968576709797,0.06074546598928707,1.0,2.0
155,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
156,10,0.001,1,0,1.0,0.0,1.0,1.0
157,10,0.01,1,0,1.0,0.0,1.0,1.0
158,10,0.1,1,0,1.0,0.0,1.0,1.0
159,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
160,10,0.001,10,0,1.0,0.0,1.0,1.0
161,10,0.01,10,0,1.0,0.0,1.0,1.0
162,10,0.1,10,0,1.0034482758620689,0.05867129017357541,1.0,2.0
163,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
164,10,0.001,100,0,1.0,0.0,1.0,1.0
165,10,0.01,100,0,1.0,0.0,1.0,1.0
166,10,0.1,100,0,1.0017452006980803,0.04177559931443569,1.0,2.0
167,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
168,10,0.001,1,0,Failed on tick 300,,,
169,10,0.01,1,0,1.0,0.0,1.0,1.0
170,10,0.1,1,0,1.0018018018018018,0.04244763599780088,1.0,2.0
171,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
172,10,0.001,10,0,1.0,0.0,1.0,1.0
173,10,0.01,10,0,1.0,0.0,1.0,1.0
174,10,0.1,10,0,1.0,0.0,1.0,1.0
175,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
176,10,0.001,100,0,1.0,0.0,1.0,1.0
177,10,0.01,100,0,1.0,0.0,1.0,1.0
178,10,0.1,100,0,1.0,0.0,1.0,1.0
179,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
180,10,0.001,1,0,1.0,0.0,1.0,1.0
181,10,0.01,1,0,1.0,0.0,1.0,1.0
182,10,0.1,1,0,1.0,0.0,1.0,1.0
183,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
184,10,0.001,10,0,1.0,0.0,1.0,1.0
185,10,0.01,10,0,1.0,0.0,1.0,1.0
186,10,0.1,10,0,1.0,0.0,1.0,1.0
187,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
188,10,0.001,100,0,1.0,0.0,1.0,1.0
189,10,0.01,100,0,1.0,0.0,1.0,1.0
190,10,0.1,100,0,1.0100334448160535,0.12903325198994883,1.0,3.0
191,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
192,10,0.001,1,0,1.0,0.0,1.0,1.0
193,10,0.01,1,0,1.0,0.0,1.0,1.0
194,10,0.1,1,0,1.001751313485114,0.04184869753186873,1.0,2.0
195,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
196,10,0.001,10,0,1.0,0.0,1.0,1.0
197,10,0.01,10,0,1.0151515151515151,0.12309149097933271,1.0,2.0
198,10,0.1,10,0,1.0016920473773265,0.041134503489486364,1.0,2.0
199,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
200,10,0.001,100,0,1.0,0.0,1.0,1.0
201,10,0.01,100,0,1.0,0.0,1.0,1.0
202,10,0.1,100,0,1.0018315018315018,0.042796049251091296,1.0,2.0
203,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
204,10,0.001,1,0,1.0,0.0,1.0,1.0
205,10,0.01,1,0,1.0,0.0,1.0,1.0
206,10,0.1,1,0,1.0035026269702276,0.059131057919090034,1.0,2.0
207,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
208,10,0.001,10,0,1.0,0.0,1.0,1.0
209,10,0.01,10,0,1.0,0.0,1.0,1.0
210,10,0.1,10,0,1.0,0.0,1.0,1.0
211,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
212,10,0.001,100,0,1.0,0.0,1.0,1.0
213,10,0.01,100,0,1.0,0.0,1.0,1.0
214,10,0.1,100,0,1.0048780487804878,0.06972918593228646,1.0,2.0
215,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
216,10,0.001,1,0,1.0,0.0,1.0,1.0
217,10,0.01,1,0,1.0,0.0,1.0,1.0
218,10,0.1,1,0,1.0034246575342465,0.05847036288646263,1.0,2.0
219,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
220,10,0.001,10,0,1.0,0.0,1.0,1.0
